Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture d'un camion avec simple cabine et équipé d'une benne basculante et d'une grue avec godet pour la cellule Travaux du département Travaux de Voirie conclu par procédure négociée directe avec publication préalable en application de l'article 41, § 1er, 1° de la loi du 17/06/2016 (cahier des charges n°  CDA/010594).;Overheidsopdracht voor leveringen met het doel de levering van een vrachtwagen met enkelvoudige cabine en uitgerust met een kiepbak en een kraan met grijper voor de cel Werken van het departement Wegeniswerken afgesloten via vereenvoudigde onderhandelingsprocedure met  voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1° van de wet van 17/06/2016 (bestek nr CDA/010594).;12/12/19;Scania Belgium SA - avenue Antoon van Oss 1B 28 - 1120 Bruxelles;280.381,20
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture, le montage, l'installation et la mise en service prête à l'emploi de marquoirs électriques et le démontage de marquoirs électriques existants pour divers complexes sportifs du département Culture, Jeunesse, Loisirs et Sports conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010997).;Overheidsopdracht voor leveringen met het doel de levering, montage, installatie en bedrijfsklare indienststelling van elektrische scoreborden en de demontage van bestaande scoreborden voor verschillende sportcomplexen van het departement Cultuur, Jeugd, Ontspanning en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010997).;12/12/19;Westerstrand Europe nv - Waterven 18 - 8501 Heule;37.933,50
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 7 lots ayant pour but la fourniture, pendant 60 mois, de mobilier durable de bureau et de collectivité pour divers départements conclu par adjudication ouverte  en application des articles 23 et 24 de la loi du 15/06/2006 (cahier des charges n° CDA/007409). - Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst en in 7 percelen met het doel de levering, gedurende 60 maanden, van duurzaam kantoor- en groepsmeubilair voor verscheidene departementen van de Stad afgesloten via openbare aanbesteding  overeenkomstig met artikelen 23 en 24 van de wet van 15/06/2006 (bestek nr CDA/007409).- Bijkomende bestellingen.;19/12/19;Bedimo SA - rue du Bourgmestre 28 - 1050 Bruxelles;50.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures en 3 lots ayant pour but la fourniture, le montage et le placement de mobilier pour différentes écoles du département Instruction publique conclu par procédure négociée directe avec publication préalable en application de l'article 41, § 1er, 1° de la loi du 17/06/2016 (cahier des charges n°  CDA/010786).;Overheidsopdracht voor leveringen in 3 percelen met het doel de levering, montage en plaatsing van meubilair voor verschillende scholen van het departement Openbaar Onderwijs afgesloten via vereenvoudigde onderhandelingsprocedure met  voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1° van de wet van 17/06/2016 (bestek nr CDA/010786).;19/12/19;Alvan SPRL - rue de Berlaimont 2 - 6220 Fleurus + Buro Shop SPRL - rue de la Fagne 9 - 4920 Harzé;125.956,03
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la location et l'entretien, pendant 60 mois, d'une installation d'impression noir et blanc et couleur à grand tirage et de l'environnement informatique (hardware et logiciels) y afférent pour l'imprimerie de la Centrale d'Achats conclu par appel d'offre ouvert en application des articles 23 et 25 de la loi du 1506/2006 (cahier des charges n° CDA/005956).- Commandes supplémentaires.;Overheidsopdracht voor leveringen met het doel het huren en het onderhouden, gedurende 60 maanden, van een hoogvolume zwart-wit- en kleurenprintinstallatie met de bijbehorende informaticaomgeving (hardware en software) voor de drukkerij van departement Aankoopcentrale afgesloten via een open offerteaanvraag  overeenkomstig met artikelen 23 en 25 van de wet van 15/06/2006 (bestek nr CDA/005956).- Bijkomende bestellingen.;19/12/19;Canon Belgium nv - Berkenlaan 3 - 1831 Diegem;38.500,00
Travaux de Voirie / Wegeniswerken;"Marché public de fournitures, conclu par appel d'offres général (loi du 24/12/1993), ayant pour objet : lot 1 : la fabrication, la fourniture, le placement et la mise en service d'une quantité présumée de 14 unités d’urinoirs accessible à au moins 2 personnes par édicule ; lot 2 : la fabrication, la fourniture, le placement, la mise en service, l’entretien et la maintenance d'une quantité présumée de 3 toilettes publiques accessibles aux personnes à mobilité réduite (dossier TV/2009/53/PP).- Dépense supplémentaire.";"Overheidsopdracht voor leveringen, gegund via algemene offerteaanvraag (wet van 24/12/1993), met als voorwerp : perceel 1 : de aanmaak, levering, plaatsing en inwerkingstelling van een vermoedelijke hoeveelheid van 14 units urinoirs, die minimaal toegankelijk zijn voor 2 personen ; perceel 2 : de aanmaak, levering, plaatsing, inwerkingstelling, onderhoud en  instandhouding van een vermoedelijke hoeveelheid van 3 openbare toiletten toegankelijk voor personen met beperkte mobiliteit (dossier TV/2009/53/PP).- Meeruitgave.";20/06/2019;Francioli SA, Z.A. de la Bare, 01480 Chaleins (France);49.437,48
Travaux de Voirie / Wegeniswerken;Marché public de services, conclu par adjudication ouverte en application des articles 23 et 24 de la loi du 15/06/2006, ayant pour but l’installation de zones d’interdiction de stationnement temporaire et l’ouverture et fermeture d’espaces publics pour une période de 36 mois (dossier TV/2015/03/EP).- Dépense supplémentaire et décompte final.;Overheidsopdracht voor diensten, gegund bij open aanbesteding in toepassing van de artikels 23 en 24 van de wet van 15/06/2006, met als voorwerp het instellen van tijdelijke parkeerverbodzones en handelingen met betrekking tot het openen en sluiten van openbare ruimtes, gedurende 36 maanden (dossier TV/2015/03/EP).- Meeruitgave en eindafrekening.;7/11/2019;Traffic Services NV, Schoonmansveld 23, 2870 Puurs;7.710,62
Travaux de Voirie / Wegeniswerken;Marché public de services, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but l’entretien, pendant 4 ans, de diverses installations d’alarme incendie dans différents bâtiments du département Travaux de Voirie de la ville de Bruxelles (dossier TV/2019/16).;Overheidsopdracht voor diensten, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als doel het onderhoud, gedurende 4 jaar, van diverse brandalarminstallaties in verschillende gebouwen van het departement Wegeniswerken van de stad Brussel (dossier TV/2019/16).;24/10/2019;VAG SECURITY SPRL, boulevard International 9, 1070 Bruxelles;75.000,00
Travaux de Voirie / Wegeniswerken;Marché public de fournitures, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but la fourniture et l’installation de poubelles publiques avec compacteur de déchets alimenté par un panneau solaire (dossier TV/2019/22/PP).;Overheidsopdracht voor leveringen, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als voorwerp de levering en plaatsing van openbare afvalbakken uitgerust met een afvalpers op zonne-energie (dossier TV/2019/22/PP).;20/06/2019;Mr FILL BV, Pascalweg 20, 4104 BG Culemborg (Nederland);174.240,00
Travaux de Voirie / Wegeniswerken;Marché public de services, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but l’entretien de décorations mobiles sur le territoire de la Ville de Bruxelles (dossier TV/2019/44/EV).;Overheidsopdracht voor diensten, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als doel het onderhoud van bloemenversieringen op het grondgebied van de Stad Brussel (dossier TV/2019/44/EV).;20/06/2019;SIGNCO BVBA, Jozef de Blockstraat 74, 2830 Willebroek;100.418,87
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but la pose sans fourniture de mobilier urbain (bancs, corbeilles, etc.) fourni par l’adjudicateur (dossier TV/2019/80/EP).;Overheidsopdracht voor werken, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als doel de plaatsing zonder levering van stadsmeubilair (banken, vuilnisbakken, enz.) geleverd door de aanbesteder (dossier TV/2019/80/EP).;12/12/2019;SIGN UP SA, rue Jean Burgers 2, 7850 Enghien;90.000,00
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée directe avec publication préalable en application de l'article 41 de la loi du 17/06/2016, ayant pour but la fourniture et l’installation d’une quantité présumée de 500 range-vélos sur le territoire de la Ville de Bruxelles (dossier TV/2019/84/EP).;Overheidsopdracht voor werken, gegund bij vereenvoudigde onderhandelingsprocedure met voorafgaande bekendmaking in toepassing van het artikel 41 van de wet van 17/06/2016, met als doel de levering en de plaatsing van een vermoedelijke hoeveelheid van 500 fietsrekken op het grondgebied van de Stad Brussel (dossier TV/2019/84/EP).;12/12/2019;WOLTERS MABEG BVBA, Leuerbroek 1074, 3640 Kinrooi;100.115,40
Travaux de Voirie / Wegeniswerken;Marché public de services, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but l’étude de programmation de la signalisation piétonne à installer dans le square Prince Léopold, Jardin de la Vallée du Maelbeek et Parc Fontainas (dossier TV/2019/105/EV).;Overheidsopdracht voor diensten, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als doel de programmatiestudie van de voetgangerssignalisatie, te plaatsen in de Prins Leopoldsquare, de Maalbeekdaltuin en het Fontainaspark (dossier TV/2019/105/EV).;10/10/2019;SDESIGN SPRL, rue Franz Merjay 148C, 1050 Bruxelles;23.522,40
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but la fabrication, la fourniture et la pose d’une signalétique dans le parc de Bruxelles et le square Clémentine, situés sur le territoire de la Ville de Bruxelles (dossier TV/2019/106/EV).;Overheidsopdracht voor werken, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als doel de vervaardiging, levering en plaatsing van informatiepanelen in het Warandepark en in de Clementinasquare gelegen op het grondgebied van de Stad Brussel (dossier TV/2019/106/EV).;24/10/2019;Urbis (Niezen SA), chaussée de Mons 38, 7940 Brugelette;153.365,10
Urbanisme / Stedenbouw;TRAVAUX Réaménagement de la Place de Ninove et de la Rue de la Poudrière- Procédure ouverte;WERKEN Inrichting van wegenis Ninoofsplein en Kruitenmolenstraat - Openbare Procedure;12/12/2019;De Kempeneer SA, Zaventemsesteenweg 63 - 1831 Diegem;1.121.649,46
Urbanisme / Stedenbouw;SERVICE Marché public de services par procédure négociée sans publication préalable : Réalisation d’une illustration sur la voûte des tunnels Frédéric Basse, Fontaine et Sallaert. - Cahier spécial des charges n° CAR/19/PN/188 - Articles 35, 6° et 41 de la loi du 17/06/2016.;DIENSTEN Overheidsopdracht voor aanneming van diensten via onderhandelingsprocedure zonder voorafgaande bekendmaking : Uitvoering van een illustratie op het gewelf van de Frédéric Basse-, de Fontein- en de Sallaerttunnels. - Bijzonder lastenboek n° CAR/19/PN/188 - Artikels 35, 6° en 41 van de wet van 17/06/2016.;28/02/2019;Urbana asbl;156.816,00
Urbanisme / Stedenbouw;TRAVAUX Marché public de travaux de faible montant sur simple facture acceptée : Nettoyage de 8 fresques du parcours BD situées à différents endroits de 1000 et 1020 Bruxelles. - Cahier spécial des charges n° CAR/19/FA/191 - Article 92 de la loi du 17/06/2016.;WERKEN Overheidsopdracht voor aanneming van werken van beperkte waarde met aanvaarde factuur : Reiniging van 8 muurschilderingen van het stripparcours, aangebracht op verschillende plaatsen te 1000 en 1020 Brussel.  - Bijzonder lastenboek n° CAR/19/FA/191 - Artikel 92 van de wet van 17/06/2016.;12/09/2019;APP All Remove Benelux bvba;11.059,40
Urbanisme / Stedenbouw;SERVICES Marché public de services par procédure négociée sans publication préalable : Réalisation de la fresque murale « Petit Poilu » à 1130 Bruxelles. - Cahier spécial des charges n° CAR/19/PN/196 - Articles 35, 6° et 41 de la loi du 17/06/2016.;DIENSTEN Overheidsopdracht voor aanneming van diensten via onderhandelingsprocedure zonder voorafgaande bekendmaking : Verwezenlijking van de muurschildering « Stoppeltje »  te 1130 Brussel. - Bijzonder lastenboek n° CAR/19/PN/196 - Artikels 35, 6° en 41 van de wet van 17/06/2016.;19/12/2019;Urbana asbl;52.635,00
Urbanisme / Stedenbouw;SERVICES Marché public de service de faible montant sur simple facture acceptée : campagne de communication PCDD/impression de 30 affiches 2m²;DIENSTEN Overheidsopdracht voor aanneming van diensten van beperkte waarde met aanvaarde factuur : communicatiecampagne GDOP/Bedrukken van 30 affiches 2m²;29/08/2019;DPI sprl;592,90
